school_name,total_vacancies,phase 1 vacancies,phase 1 applicants,phase 1 ballot_vacancies,phase 1 ballot_applicants,phase 1 ballot_criteria,phase 2A vacancies,phase 2A applicants,phase 2A ballot_vacancies,phase 2A ballot_applicants,phase 2A ballot_criteria,phase 2B vacancies,phase 2B applicants,phase 2B ballot_vacancies,phase 2B ballot_applicants,phase 2B ballot_criteria,phase 2C vacancies,phase 2C applicants,phase 2C ballot_vacancies,phase 2C ballot_applicants,phase 2C ballot_criteria,phase 2C S vacancies,phase 2C S applicants,phase 2C S ballot_vacancies,phase 2C S ballot_applicants,phase 2C S ballot_criteria
Admiralty Primary School,210,-,-,-,-,-,44,37,-,-,-,22,49,22,41,Conducted for: Singapore Citizen children residing within 1km of the school.,45,104,45,104,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Ahmad Ibrahim Primary School,190,-,-,-,-,-,74,5,-,-,-,43,0,-,-,-,129,31,-,-,-,98,20,-,-,-
Ai Tong School,300,-,-,-,-,-,110,146,41,77,Conducted for: Singapore Citizen children residing outside 2km of the school.,20,48,20,42,Conducted for: Singapore Citizen children residing within 1km of the school.,42,86,42,68,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Alexandra Primary School,200,-,-,-,-,-,65,9,-,-,-,39,4,-,-,-,113,146,-,-,-,-,-,-,-,-
Anchor Green Primary School,240,-,-,-,-,-,105,46,-,-,-,40,0,-,-,-,120,24,-,-,-,-,-,-,-,-
Anderson Primary School,210,-,-,-,-,-,59,36,-,-,-,28,21,-,-,-,64,88,19,34,Conducted for: Singapore Citizen children residing between 1km and 2km of the school.,-,-,-,-,-
Ang Mo Kio Primary School,210,-,-,-,-,-,102,13,-,-,-,50,0,-,-,-,149,49,-,-,-,100,13,-,-,-
Anglo-Chinese School (Junior),270,-,-,-,-,-,132,112,-,-,-,27,57,27,44,Conducted for: Singapore Citizen children residing within 1km of the school.,53,69,53,59,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Anglo-Chinese School (Primary),240,-,-,-,-,-,118,95,-,-,-,28,55,28,50,Conducted for: Singapore Citizen children residing within 1km of the school.,55,69,55,64,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Angsana Primary School,280,-,-,-,-,-,162,20,-,-,-,67,0,-,-,-,202,171,-,-,-,-,-,-,-,-
Beacon Primary School,210,-,-,-,-,-,82,7,-,-,-,45,0,-,-,-,135,33,-,-,-,102,27,-,-,-
Bedok Green Primary School,240,-,-,-,-,-,109,17,-,-,-,51,0,-,-,-,152,32,-,-,-,120,74,-,-,-
Bendemeer Primary School,190,-,-,-,-,-,78,5,-,-,-,44,0,-,-,-,133,59,-,-,-,74,47,-,-,-
Blangah Rise Primary School,120,-,-,-,-,-,41,6,-,-,-,32,0,-,-,-,96,24,-,-,-,72,19,-,-,-
Boon Lay Garden Primary School,300,-,-,-,-,-,175,11,-,-,-,75,0,-,-,-,225,38,-,-,-,187,34,-,-,-
Bukit Panjang Primary School,240,-,-,-,-,-,80,55,-,-,-,29,21,-,-,-,65,80,65,76,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Bukit Timah Primary School,190,-,-,-,-,-,71,6,-,-,-,42,1,-,-,-,124,81,14,25,Conducted for: Permanent Resident children residing outside 2km of the school.,-,-,-,-,-
Bukit View Primary School,300,-,-,-,-,-,182,12,-,-,-,77,0,-,-,-,230,31,-,-,-,199,133,-,-,-
Canberra Primary School,240,-,-,-,-,-,94,25,-,-,-,43,19,-,-,-,112,146,112,135,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Canossa Catholic Primary School,120,-,-,-,-,-,26,6,-,-,-,27,16,-,-,-,64,60,-,-,-,-,-,-,-,-
Cantonment Primary School,180,-,-,-,-,-,76,2,-,-,-,45,0,-,-,-,136,43,-,-,-,93,47,-,-,-
Casuarina Primary School,160,-,-,-,-,-,40,16,-,-,-,28,0,-,-,-,84,55,-,-,-,-,-,-,-,-
Catholic High School (Primary Section),240,-,-,-,-,-,110,149,32,71,Conducted for: Singapore Citizen children residing outside 2km of the school.,20,43,20,34,Conducted for: Singapore Citizen children residing within 1km of the school.,40,68,40,53,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Cedar Primary School,240,-,-,-,-,-,147,20,-,-,-,62,0,-,-,-,187,42,-,-,-,145,74,-,-,-
Changkat Primary School,210,-,-,-,-,-,97,12,-,-,-,48,0,-,-,-,146,49,-,-,-,97,18,-,-,-
CHIJ (Katong) Primary,200,-,-,-,-,-,101,33,-,-,-,43,16,-,-,-,112,53,-,-,-,59,57,-,-,-
CHIJ (Kellock),200,-,-,-,-,-,91,13,-,-,-,46,16,-,-,-,123,77,-,-,-,46,41,-,-,-
CHIJ Our Lady Of Good Counsel,150,-,-,-,-,-,57,20,-,-,-,32,20,-,-,-,80,61,-,-,-,-,-,-,-,-
CHIJ Our Lady Of The Nativity,240,-,-,-,-,-,122,22,-,-,-,54,53,-,-,-,110,118,9,14,Conducted for: Singapore Citizen children residing outside 2km of the school.,-,-,-,-,-
CHIJ Our Lady Queen Of Peace,180,-,-,-,-,-,82,4,-,-,-,46,12,-,-,-,126,82,-,-,-,44,42,-,-,-
CHIJ Primary (Toa Payoh),210,-,-,-,-,-,95,74,-,-,-,27,40,27,28,Conducted for: Singapore Citizen children residing within 1km of the school.,54,68,54,65,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
CHIJ St. Nicholas Girls' School (Primary Section),210,-,-,-,-,-,90,112,15,37,Conducted for: Singapore Citizen children residing outside 2km of the school.,20,46,20,32,Conducted for: Singapore Citizen children residing within 1km of the school.,40,63,40,53,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Chongfu School,300,-,-,-,-,-,101,87,-,-,-,25,51,25,41,Conducted for: Singapore Citizen children residing within 1km of the school.,49,157,49,149,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Chongzheng Primary School,180,-,-,-,-,-,32,39,4,10,Conducted for: Singapore Citizen children residing outside 2km of the school.,20,7,-,-,-,54,87,54,87,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Chua Chu Kang Primary School,240,-,-,-,-,-,66,31,-,-,-,32,25,-,-,-,70,124,70,122,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Clementi Primary School,280,-,-,-,-,-,138,17,-,-,-,60,0,-,-,-,183,71,-,-,-,-,-,-,-,-
Compassvale Primary School,240,-,-,-,-,-,82,12,-,-,-,44,17,-,-,-,115,140,115,120,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Concord Primary School,240,-,-,-,-,-,77,21,-,-,-,39,3,-,-,-,114,105,-,-,-,-,-,-,-,-
Corporation Primary School,240,-,-,-,-,-,98,6,-,-,-,51,1,-,-,-,151,54,-,-,-,97,31,-,-,-
Damai Primary School,240,-,-,-,-,-,124,8,-,-,-,59,0,-,-,-,176,36,-,-,-,140,30,-,-,-
Dazhong Primary School,200,-,-,-,-,-,51,40,-,-,-,24,0,-,-,-,73,66,-,-,-,-,-,-,-,-
De La Salle School,240,-,-,-,-,-,101,17,-,-,-,48,12,-,-,-,133,104,-,-,-,-,-,-,-,-
East Spring Primary School,190,-,-,-,-,-,64,11,-,-,-,38,0,-,-,-,113,58,-,-,-,55,26,-,-,-
Edgefield Primary School,240,-,-,-,-,-,93,15,-,-,-,46,0,-,-,-,139,85,-,-,-,-,-,-,-,-
Elias Park Primary School,180,-,-,-,-,-,40,10,-,-,-,30,2,-,-,-,89,132,89,104,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Endeavour Primary School,240,-,-,-,-,-,103,7,-,-,-,52,3,-,-,-,153,58,-,-,-,95,72,-,-,-
Evergreen Primary School,210,-,-,-,-,-,82,17,-,-,-,42,0,-,-,-,125,59,-,-,-,66,47,-,-,-
Fairfield Methodist School (Primary),270,-,-,-,-,-,88,98,57,66,Conducted for: Singapore Citizen children residing outside 2km of the school.,20,33,-,-,-,41,89,41,55,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Farrer Park Primary School,190,-,-,-,-,-,86,20,-,-,-,42,1,-,-,-,125,49,-,-,-,76,59,-,-,-
Fengshan Primary School,180,-,-,-,-,-,36,22,-,-,-,25,1,-,-,-,73,95,4,7,Conducted for: Singapore Citizen children residing between 1km and 2km of the school.,-,-,-,-,-
Fern Green Primary School,240,-,-,-,-,-,61,48,-,-,-,25,2,-,-,-,73,90,73,82,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Fernvale Primary School,240,-,-,-,-,-,88,35,-,-,-,38,1,-,-,-,113,78,-,-,-,-,-,-,-,-
First Toa Payoh Primary School,150,-,-,-,-,-,72,6,-,-,-,42,0,-,-,-,127,4,-,-,-,123,10,-,-,-
Frontier Primary School,210,-,-,-,-,-,70,92,3,5,Conducted for: Singapore Citizen children residing between 1km and 2km of the school.,20,14,-,-,-,46,85,46,70,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Fuchun Primary School,210,-,-,-,-,-,99,12,-,-,-,49,1,-,-,-,147,52,-,-,-,95,16,-,-,-
Fuhua Primary School,180,-,-,-,-,-,37,15,-,-,-,27,0,-,-,-,83,62,-,-,-,-,-,-,-,-
Gan Eng Seng Primary School,150,-,-,-,-,-,54,2,-,-,-,37,0,-,-,-,112,28,-,-,-,84,21,-,-,-
Geylang Methodist School (Primary),270,-,-,-,-,-,107,34,-,-,-,44,4,-,-,-,129,131,5,18,Conducted for: Permanent Resident children residing outside 2km of the school.,-,-,-,-,-
Gongshang Primary School,210,-,-,-,-,-,59,116,3,40,Conducted for: Singapore Citizen children residing between 1km and 2km of the school.,20,15,-,-,-,45,107,45,81,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Greendale Primary School,240,-,-,-,-,-,95,22,-,-,-,44,0,-,-,-,133,31,-,-,-,102,71,-,-,-
Greenridge Primary School,210,-,-,-,-,-,69,12,-,-,-,39,0,-,-,-,117,35,-,-,-,82,26,-,-,-
Greenwood Primary School,240,-,-,-,-,-,85,6,-,-,-,46,1,-,-,-,138,107,-,-,-,-,-,-,-,-
Haig Girls' School,190,-,-,-,-,-,93,25,-,-,-,43,1,-,-,-,127,117,-,-,-,10,28,-,-,-
Henry Park Primary School,300,-,-,-,-,-,109,139,38,67,Conducted for: Singapore Citizen children residing outside 2km of the school.,21,29,21,27,Conducted for: Singapore Citizen children residing within 1km of the school.,41,82,41,62,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Holy Innocents' Primary School,270,-,-,-,-,-,88,103,23,37,Conducted for: Singapore Citizen children residing outside 2km of the school.,21,50,21,34,Conducted for: Singapore Citizen children residing within 1km of the school.,42,101,42,98,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Hong Wen School,210,-,-,-,-,-,77,29,-,-,-,36,27,-,-,-,83,135,83,129,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Horizon Primary School,240,-,-,-,-,-,79,92,2,15,Conducted for: Permanent Resident children residing within 1km of the school.,20,19,-,-,-,42,77,42,74,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Hougang Primary School,200,-,-,-,-,-,41,5,-,-,-,32,18,-,-,-,79,114,79,102,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Huamin Primary School,280,-,-,-,-,-,105,68,-,-,-,32,2,-,-,-,96,114,96,101,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Innova Primary School,180,-,-,-,-,-,45,7,-,-,-,33,14,-,-,-,84,86,8,61,Conducted for: Permanent Resident children residing within 1km of the school.,-,-,-,-,-
Jiemin Primary School,180,-,-,-,-,-,46,22,-,-,-,28,1,-,-,-,83,62,-,-,-,22,27,-,-,-
Jing Shan Primary School,150,-,-,-,-,-,35,22,-,-,-,24,1,-,-,-,72,67,-,-,-,5,5,-,-,-
Junyuan Primary School,240,-,-,-,-,-,94,42,-,-,-,37,0,-,-,-,112,77,-,-,-,-,-,-,-,-
Jurong Primary School,180,-,-,-,-,-,40,21,-,-,-,26,0,-,-,-,82,55,-,-,-,-,-,-,-,-
Jurong West Primary School,180,-,-,-,-,-,33,12,-,-,-,27,4,-,-,-,78,93,-,-,-,-,-,-,-,-
Keming Primary School,220,-,-,-,-,-,60,49,-,-,-,24,19,-,-,-,53,121,53,103,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Kheng Cheng School,240,-,-,-,-,-,98,15,-,-,-,48,4,-,-,-,141,111,-,-,-,30,55,-,-,-
Kong Hwa School,270,-,-,-,-,-,111,75,-,-,-,32,65,32,51,Conducted for: Singapore Citizen children residing within 1km of the school.,64,129,64,110,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Kranji Primary School,150,-,-,-,-,-,59,20,-,-,-,33,0,-,-,-,99,16,-,-,-,84,7,-,-,-
Kuo Chuan Presbyterian Primary School,240,-,-,-,-,-,77,45,-,-,-,31,54,5,16,Conducted for: Singapore Citizen children residing between 1km and 2km of the school.,67,86,9,24,Conducted for: Singapore Citizen children residing between 1km and 2km of the school.,-,-,-,-,-
Lakeside Primary School,240,-,-,-,-,-,76,23,-,-,-,38,0,-,-,-,113,124,8,67,Conducted for: Permanent Resident children residing within 1km of the school.,-,-,-,-,-
Lianhua Primary School,300,-,-,-,-,-,187,11,-,-,-,79,1,-,-,-,235,32,-,-,-,203,60,-,-,-
Maha Bodhi School,330,-,-,-,-,-,138,88,-,-,-,37,33,-,-,-,79,114,79,83,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Maris Stella High School (Primary Section),270,-,-,-,-,-,128,106,-,-,-,27,45,27,28,Conducted for: Singapore Citizen children residing within 1km of the school.,56,93,56,91,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Marsiling Primary School,210,-,-,-,-,-,88,11,-,-,-,46,0,-,-,-,137,82,-,-,-,55,18,-,-,-
Marymount Convent School,240,-,-,-,-,-,148,7,-,-,-,67,13,-,-,-,188,68,-,-,-,120,101,-,-,-
Mayflower Primary School,190,-,-,-,-,-,75,20,-,-,-,38,0,-,-,-,115,38,-,-,-,77,59,-,-,-
Mee Toh School,300,-,-,-,-,-,123,34,-,-,-,50,50,-,-,-,101,150,101,146,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Meridian Primary School,190,-,-,-,-,-,71,25,-,-,-,35,0,-,-,-,108,22,-,-,-,86,9,-,-,-
Methodist Girls' School (Primary),210,-,-,-,-,-,69,89,28,46,Conducted for: Singapore Citizen children residing outside 2km of the school.,20,79,20,53,Conducted for: Singapore Citizen children residing within 1km of the school.,40,70,40,70,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Montfort Junior School,150,-,-,-,-,-,64,9,-,-,-,38,15,-,-,-,101,29,-,-,-,72,64,-,-,-
Nan Chiau Primary School,300,-,-,-,-,-,97,35,-,-,-,41,79,41,73,Conducted for: Singapore Citizen children residing within 1km of the school.,81,274,81,271,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Nan Hua Primary School,240,-,-,-,-,-,77,111,-,-,-,20,38,20,36,Conducted for: Singapore Citizen children residing within 1km of the school.,40,191,40,182,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Nanyang Primary School,390,-,-,-,-,-,156,185,56,85,Conducted for: Singapore Citizen children residing outside 2km of the school.,20,37,20,37,Conducted for: Singapore Citizen children residing within 1km of the school.,41,89,41,76,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Naval Base Primary School,280,-,-,-,-,-,106,61,-,-,-,35,1,-,-,-,105,116,4,93,Conducted for: Permanent Resident children residing within 1km of the school.,-,-,-,-,-
New Town Primary School,210,-,-,-,-,-,117,4,-,-,-,58,0,-,-,-,173,20,-,-,-,153,33,-,-,-
Ngee Ann Primary School,240,-,-,-,-,-,95,28,-,-,-,42,4,-,-,-,123,128,-,-,-,-,-,-,-,-
North Spring Primary School,210,-,-,-,-,-,85,7,-,-,-,46,0,-,-,-,139,37,-,-,-,102,50,-,-,-
North View Primary School,240,-,-,-,-,-,99,15,-,-,-,48,0,-,-,-,144,119,-,-,-,-,-,-,-,-
North Vista Primary School,240,-,-,-,-,-,101,44,-,-,-,39,0,-,-,-,117,43,-,-,-,74,49,-,-,-
Northland Primary School,240,-,-,-,-,-,60,62,10,12,Conducted for: Singapore Citizen children residing outside 2km of the school.,20,22,-,-,-,42,199,42,185,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Northoaks Primary School,220,-,-,-,-,-,131,5,-,-,-,62,0,-,-,-,186,14,-,-,-,172,13,-,-,-
Northshore Primary School,240,-,-,-,-,-,147,31,-,-,-,59,1,-,-,-,175,75,-,-,-,100,87,-,-,-
Oasis Primary School,250,-,-,-,-,-,54,71,54,66,Conducted for: Singapore Citizen children residing within 1km of the school.,20,0,-,-,-,60,80,60,77,Conducted for: Singapore Citizen children residing within 1km of the school.,-,-,-,-,-
Opera Estate Primary School,190,-,-,-,-,-,56,8,-,-,-,36,1,-,-,-,107,70,5,10,Conducted for: Permanent Resident children residing outside 2km of the school.,43,43,-,-,-
