school_name,phase 2A vacancies,day_1 phase 2A applicants,day_2 phase 2A applicants,19/07/2023 phase 2A vacancies,19/07/2023 phase 2A applicants,20/07/2023 phase 2A vacancies,20/07/2023 phase 2A applicants,20/07/2023 phase 2A ballot_criteria,24/07/2023 phase 2B vacancies,24/07/2023 phase 2B applicants,24/07/2023 phase 2B ballot_criteria,25/07/2023 phase 2B vacancies,25/07/2023 phase 2B applicants,25/07/2023 phase 2B ballot_criteria,26/07/2023 phase 2B vacancies,26/07/2023 phase 2B applicants,26/07/2023 phase 2B ballot_criteria,27/07/2023 phase 2B vacancies,27/07/2023 phase 2B applicants,27/07/2023 phase 2B ballot_criteria,28/07/2023 phase 2B vacancies,28/07/2023 phase 2B applicants,28/07/2023 phase 2B ballot_criteria,31/07/2023 phase 2C vacancies,31/07/2023 phase 2C max pr vacancies,31/07/2023 phase 2C applicants,31/07/2023 phase 2C ballot_criteria,01/08/2023 phase 2C vacancies,01/08/2023 phase 2C max pr vacancies,01/08/2023 phase 2C applicants,01/08/2023 phase 2C ballot_criteria,03/08/2023 phase 2C vacancies,03/08/2023 phase 2C max pr vacancies,03/08/2023 phase 2C applicants,03/08/2023 phase 2C ballot_criteria,10/08/2023 phase 2C vacancies,10/08/2023 phase 2C max pr vacancies,10/08/2023 phase 2C applicants,10/08/2023 phase 2C ballot_criteria,14/08/2023 phase 2C vacancies,14/08/2023 phase 2C max pr vacancies,14/08/2023 phase 2C applicants,14/08/2023 phase 2C ballot_criteria
Admiralty Primary School,75,23,30,75,32,75,32,-,34,32,-,34,32,-,34,32,-,34,32,-,34,37,"Balloting will be conducted for Permanent Resident children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",69,-,-,-,69,-,88,-,69,-,101,-,70,-,109,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",70,-,109,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Ahmad Ibrahim Primary School,106,9,10,106,10,106,10,-,52,0,-,52,0,-,52,0,-,52,0,-,52,0,-,156,-,-,-,157,-,17,-,157,-,26,-,157,-,27,-,157,-,27,-
Ai Tong School,126,90,110,126,120,126,120,-,22,12,-,22,12,-,22,12,-,22,12,-,22,56,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",44,-,-,-,44,-,53,-,44,-,70,-,45,-,78,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",45,-,78,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Alexandra Primary School,83,6,9,83,13,83,13,-,43,3,-,43,3,-,43,3,-,43,3,-,43,4,-,126,-,-,-,126,-,93,-,126,-,119,-,127,-,141,"Balloting will be conducted for Singapore Citizen children residing outside 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",127,-,141,"Balloting will be conducted for Singapore Citizen children residing outside 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Anchor Green Primary School,95,19,24,95,30,95,30,-,42,0,-,42,0,-,42,0,-,42,0,-,42,0,-,126,-,-,-,126,-,29,-,127,-,33,-,128,-,36,-,128,-,36,-
Anderson Primary School,79,35,43,79,46,79,46,-,31,18,-,31,18,-,31,18,-,31,18,-,31,19,-,74,-,-,-,74,-,65,-,74,-,83,-,74,-,92,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",74,-,92,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Ang Mo Kio Primary School,58,17,26,58,33,58,33,-,28,0,-,28,0,-,28,0,-,28,0,-,28,0,-,85,-,-,-,85,-,20,-,85,-,23,-,85,-,29,-,85,-,29,-
Anglo-Chinese School (Junior),134,81,99,134,101,134,101,-,31,29,-,31,29,-,31,29,-,31,29,-,31,52,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",62,-,-,-,62,-,32,-,62,-,48,-,62,-,79,"Balloting will be conducted for Singapore Citizen children residing outside 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",62,-,79,"Balloting will be conducted for Singapore Citizen children residing outside 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Anglo-Chinese School (Primary),124,80,96,124,106,124,106,-,26,44,-,26,44,-,26,44,-,26,44,-,26,51,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",53,-,-,-,53,-,37,-,53,-,47,-,53,-,68,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",53,-,68,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Angsana Primary School,132,79,90,132,95,132,95,-,32,1,-,32,1,-,32,1,-,32,1,-,32,2,-,95,-,-,-,95,-,120,-,95,-,149,-,95,-,167,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",95,-,167,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Beacon Primary School,30,2,4,30,6,30,6,-,28,0,-,28,0,-,28,0,-,28,0,-,28,0,-,84,-,-,-,84,-,21,-,84,-,23,-,84,-,31,-,84,-,31,-
Bedok Green Primary School,94,7,10,94,11,94,11,-,48,0,-,48,0,-,48,0,-,48,0,-,48,0,-,143,-,-,-,143,-,14,-,143,-,21,-,143,-,27,-,143,-,27,-
Bendemeer Primary School,94,9,9,94,12,94,12,-,47,1,-,47,1,-,47,1,-,47,1,-,47,1,-,141,-,-,-,142,-,23,-,142,-,28,-,143,-,30,-,143,-,30,-
Blangah Rise Primary School,37,11,18,37,20,37,20,-,26,0,-,26,0,-,26,0,-,26,0,-,26,0,-,77,-,-,-,77,-,7,-,77,-,11,-,77,-,18,-,77,-,18,-
Boon Lay Garden Primary School,74,9,15,74,15,74,15,-,40,0,-,40,0,-,40,0,-,40,0,-,40,0,-,119,-,-,-,121,-,16,-,121,-,22,-,121,-,27,-,121,-,27,-
Bukit Panjang Primary School,80,62,73,80,78,80,78,-,21,21,-,21,21,-,21,21,-,21,21,-,21,24,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",41,-,-,-,41,-,78,-,41,-,89,-,42,-,89,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",42,-,89,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Bukit Timah Primary School,56,7,7,56,7,56,7,-,36,0,-,36,0,-,36,0,-,36,0,-,36,1,-,108,35,-,-,108,35,43,-,109,35,62,-,111,35,71,-,111,35,71,-
Bukit View Primary School,198,7,11,198,17,198,17,-,80,0,-,80,0,-,80,0,-,80,0,-,80,0,-,241,-,-,-,242,-,20,-,242,-,25,-,242,-,27,-,242,-,27,-
Canberra Primary School,100,11,15,100,16,100,16,-,48,20,-,48,20,-,48,20,-,48,20,-,48,22,-,122,-,-,-,122,-,101,-,122,-,123,-,122,-,131,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",122,-,131,"Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Canossa Catholic Primary School,12,2,3,12,3,12,3,-,23,14,-,23,14,-,23,14,-,23,14,-,23,19,-,50,-,-,-,50,-,40,-,50,-,53,-,50,-,56,"This school only has places for Singapore Citizen children residing within 2km of the school. No balloting will be conducted.

If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",50,-,56,"This school only has places for Singapore Citizen children residing within 2km of the school. No balloting will be conducted.

If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Cantonment Primary School,45,3,3,45,4,45,4,-,34,2,-,34,2,-,34,2,-,34,2,-,34,2,-,99,-,-,-,99,-,19,-,99,-,31,-,100,-,40,-,100,-,40,-
Casuarina Primary School,24,14,15,24,18,24,18,-,22,0,-,22,0,-,22,0,-,22,0,-,22,0,-,66,-,-,-,66,-,32,-,66,-,39,-,66,-,44,-,66,-,44,-
Catholic High School (Primary Section),116,96,132,116,135,116,135,"Balloting will be conducted for Singapore Citizen children residing outside 2km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",20,26,-,20,26,-,20,26,-,20,26,-,20,29,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register again in your next eligible phase.",40,-,-,-,40,-,41,-,40,-,49,-,40,-,52,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary.",40,-,52,"Balloting will be conducted for Singapore Citizen children residing within 1km of the school. If your application is unsuccessful, you can register for a school with available vacancies in Phase 2C Supplementary."
Cedar Primary School,128,25,35,128,36,128,36,-,51,0,-,51,0,-,51,0,-,51,0,-,51,1,-,151,-,-,-,151,-,21,-,151,-,31,-,151,-,38,-,151,-,38,-
Changkat Primary School,75,9,13,75,15,75,15,-,40,1,-,40,1,-,40,1,-,40,1,-,40,1,-,119,-,-,-,119,-,40,-,119,-,49,-,119,-,56,-,119,-,56,-
CHIJ (Katong) Primary,96,19,28,96,30,96,30,-,42,15,-,42,15,-,42,15,-,42,15,-,42,21,-,105,-,-,-,105,-,41,-,105,-,50,-,105,-,63,-,105,-,63,-
CHIJ (Kellock),93,8,11,93,12,93,12,-,47,7,-,47,7,-,47,7,-,47,7,-,47,14,-,127,-,-,-,128,-,34,-,128,-,39,-,128,-,49,-,128,-,49,-
CHIJ Our Lady of Good Counsel,61,8,10,61,11,61,11,-,37,9,-,37,9,-,37,9,-,37,9,-,37,11,-,99,-,-,-,100,-,22,-,100,-,31,-,101,-,40,-,101,-,40,-
